title,album,year,artist,genre,text,url,hero
Pachchadanamey,Sakhi,2000,A.R. Rahman,Country,pachchadanamey sakhi a.r . rahman,https://www.jiosaavn.com/song/pachchadanamey/Hxldaw1ifWY,Vijay Deverakonda
Pedavi Datani,Thammudu,2000,Sunitha UpadrastaRamana Gogula,Jazz,pedavi datani thammudu sunitha upadrastaramana gogula,https://www.jiosaavn.com/song/pedavi-datani/OFk-VjBJDgs,Nani
Singarala,Dalapathi,1992,IlaiyaraajaS.P. BalasubrahmanyamK.J. Yesudas,Blues,singarala dalapathi ilaiyaraajas.p . balasubrahmanyamk.j . yesuda,https://www.jiosaavn.com/song/singarala/ET07cBcdTlg,Naga Chaitanya
Kalaavathi,Sarkaru Vaari Paata,2022,Sid Sriram,Jazz,kalaavathi sarkaru vaari paata sid sriram,https://www.jiosaavn.com/song/kalaavathi/KgsbXCRKBWU,Naga Chaitanya
Oh My Lily,Tillu Square,2023,Sreerama Chandra,Hip-hop,oh my lili tillu squar sreerama chandra,https://www.jiosaavn.com/song/oh-my-lily/PileSBBIR0s,Ram Charan
Kallajodu Collage Papa (Telugu Folk Song),Kallajodu Collage Papa (Telugu Folk Song),2021,Kondu Sagar Exclusive,Blues,kallajodu collag papa ( telugu folk song ) kallajodu collag papa ( telugu folk song ) kondu sagar exclus,https://www.jiosaavn.com/song/kallajodu-collage-papa-telugu-folk-song/Fw9faSwdQAY,Vijay Deverakonda
Naa Kosam,Bangarraju,2021,Sid Sriram,Rock,naa kosam bangarraju sid sriram,"https://www.jiosaavn.com/song/naa-kosam/FwQ,WQZFYF4",Ravi Teja
Idhi Chala Baagundhi Le,Sehari,2021,Sid Sriram,Jazz,idhi chala baagundhi le sehari sid sriram,https://www.jiosaavn.com/song/idhi-chala-baagundhi-le/ESAMXRZJAns,Allu Arjun
O Priiyatama,Nuvvu Naaku Nachchav,2001,KotiS.P. Balasubrahmanyam,Pop,o priiyatama nuvvu naaku nachchav kotis.p . balasubrahmanyam,https://www.jiosaavn.com/song/o-priiyatama/OykFbjlUY0s,Allu Arjun
Killi Killi,Gudumba Shankar,2004,Mani SharmaMallikarjun,Pop,killi killi gudumba shankar mani sharmamallikarjun,https://www.jiosaavn.com/song/killi-killi/HzIqAiBkQ3E,Vijay Deverakonda
Badass,Leo (Telugu) (Original Motion Picture Soundtrack),2023,Anirudh RavichanderSri KrishnaSai Charan,Hip-hop,badass leo ( telugu ) ( origin motion pictur soundtrack ) anirudh ravichandersri krishnasai charan,https://www.jiosaavn.com/song/badass/Px9ZbgRXZ1Y,Mahesh Babu
Gumma,Ambajipeta Marriage Band (Original Motion Picture Soundtrack),2024,Sekhar Chandra,Electronic,gumma ambajipeta marriag band ( origin motion pictur soundtrack ) sekhar chandra,https://www.jiosaavn.com/song/gumma/EgoGRUVcdlU,Nani
Saami Saami,Pushpa - The Rise,2021,Mounika Yadav,Hip-hop,saami saami pushpa - the rise mounika yadav,https://www.jiosaavn.com/song/saami-saami/PyoSf0VXf2A,Allu Arjun
Garam Garam (From &quot;Saripodhaa Sanivaaram&quot;),Garam Garam (From &quot;Saripodhaa Sanivaaram&quot;),2024,Jakes BejoyVishal Dadlani,Blues,garam garam ( from & quot ; saripodhaa sanivaaram & quot ; ) garam garam ( from & quot ; saripodhaa sanivaaram & quot ; ) jake bejoyvish dadlani,https://www.jiosaavn.com/song/garam-garam-from-saripodhaa-sanivaaram/AFouYA5bZVc,Not applicable
